,H040,H009,A005,S135,A023,V032,B001,V046,S118,V014,S101,H014,V036,T001,V011,V015,A019,V028,V026,V006,S121,T002,E004,S119,V008,V051,S043,V034,V031,V012,S110,S134,S136,A003,S112,H033,A014,S050,V023,V004,V030,V019,V024,H030,G005,V007,S128,V005,H024,E003,A002,V003,H029,S044,V013,H025,S108,V018,G003,S045,H023,H026,T004,H043,S126,T005,V002,A010,V010,V001,S059,S039,V009,V041,G004,G001,V027,S122,V043,A008,V021,V029,V038,H035
2017-09-01 00:00:00,286.0,164.0,1829.0,440.0,627.0,1206.0,2130.0,1328.0,233.0,1698.0,50.0,286.0,698.0,15257.0,920.0,2591.0,385.0,2268.0,1549.0,1021.0,263.0,2653.0,1691.0,488.0,2722.0,88.0,477.0,520.0,1041.0,2732.0,774.0,853.0,514.0,1682.0,296.0,423.0,1515.0,354.0,476.0,1636.0,662.0,3153.0,1181.0,762.0,136.0,1052.0,210.0,1898.0,388.0,286.0,10331.0,2660.0,460.0,177.0,4042.0,261.0,123.0,1797.0,413.0,108.0,273.0,255.0,4542.0,1278.0,924.0,978.0,2963.0,530.0,1248.0,2284.0,806.0,369.0,7314.0,438.0,102.0,205.0,1896.0,421.0,443.0,5371.0,624.0,628.0,645.0,261.0
2017-09-01 01:00:00,201.0,140.0,1438.0,343.0,543.0,920.0,1277.0,1558.0,224.0,1258.0,23.0,201.0,579.0,6549.0,719.0,2387.0,229.0,3589.0,1218.0,694.0,195.0,2038.0,1324.0,621.0,1842.0,36.0,401.0,316.0,752.0,4455.0,673.0,578.0,370.0,1174.0,241.0,349.0,1087.0,326.0,346.0,1105.0,428.0,4495.0,1631.0,560.0,106.0,901.0,132.0,1484.0,293.0,145.0,7085.0,1873.0,579.0,68.0,4225.0,185.0,49.0,1346.0,259.0,91.0,204.0,186.0,1824.0,867.0,958.0,105.0,3519.0,403.0,934.0,1576.0,621.0,301.0,9079.0,349.0,96.0,125.0,1436.0,401.0,385.0,3363.0,711.0,391.0,570.0,230.0
